City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,korla,41.7597,86.1469,8.52,42,14,1.49,CN,1678033350
84,diego de almagro,-26.3667,-70.05,27.38,26,100,3.35,CL,1678033350
85,pisco,-13.7,-76.2167,25.03,73,0,4.12,PE,1678033350
86,georgetown,5.4112,100.3354,27.96,70,20,4.12,MY,1678033351
87,awjilah,29.1081,21.2869,20.8,28,0,5.62,LY,1678033351
88,guerrero negro,27.9769,-114.0611,14.25,67,46,6.78,MX,1678033351
89,vaini,-21.2,-175.2,26.09,94,75,10.29,TO,1678033351
90,alofi,-19.0595,-169.9187,26.94,89,100,4.12,NU,1678033351
91,hilo,19.7297,-155.09,18.68,87,20,2.57,US,1678033351
92,idlib,35.9306,36.6339,16.18,41,67,2.21,SY,1678033351
93,ulaangom,49.9811,92.0667,-14.61,80,74,1.77,MN,1678033351
94,saint-philippe,-21.3585,55.7679,24.77,85,100,2.23,RE,1678033352
95,klaksvik,62.2266,-6.589,2.51,93,100,11.78,FO,1678033352
96,los llanos de aridane,28.6585,-17.9182,18.86,85,75,4.12,ES,1678033352
97,cabo san lucas,22.8909,-109.9124,22.25,51,0,1.03,MX,1678033352
98,ilulissat,69.2167,-51.1,-1.99,86,3,1.03,GL,1678033352
99,puerto penasco,31.3167,-113.5333,16.06,61,98,2.24,MX,1678033352
100,carnarvon,-24.8667,113.6333,25.37,70,0,11.51,AU,1678033352
101,tiksi,71.6872,128.8694,-19.6,100,100,1.19,RU,1678033352
102,katsuura,35.1333,140.3,10.0,90,100,4.16,JP,1678033353
103,pliska,43.3667,27.1167,8.9,53,98,3.07,BG,1678033353
104,butaritari,3.0707,172.7902,26.81,79,92,2.89,KI,1678033353
105,nampula,-15.1165,39.2666,23.21,92,99,1.35,MZ,1678033353
106,matay,28.419,30.7792,30.02,9,2,4.9,EG,1678033353
107,khatanga,71.9667,102.5,-31.4,100,99,2.4,RU,1678033353
108,meulaboh,4.1363,96.1285,24.83,86,17,2.02,ID,1678033353
109,tumarbong,10.3766,119.4579,23.44,87,29,2.29,PH,1678033353
110,port alfred,-33.5906,26.891,24.98,88,66,3.52,ZA,1678033354
111,cape town,-33.9258,18.4232,19.08,91,47,5.36,ZA,1678032824
112,hasaki,35.7333,140.8333,8.22,61,100,4.94,JP,1678033354
113,bredasdorp,-34.5322,20.0403,20.55,80,77,7.99,ZA,1678033354
114,ngunguru,-35.6167,174.5,15.39,88,23,3.78,NZ,1678033354
115,pevek,69.7008,170.3133,-36.95,100,39,2.94,RU,1678033354
116,new norfolk,-42.7826,147.0587,17.06,76,93,0.18,AU,1678033354
117,santiago de cao,-7.9589,-79.2392,25.07,83,97,4.12,PE,1678033354
118,castro,-24.7911,-50.0119,23.4,75,3,4.16,BR,1678033354
119,xining,36.6167,101.7667,3.1,38,94,0.13,CN,1678033355
120,ribeira grande,38.5167,-28.7,16.22,63,20,9.77,PT,1678033355
121,havoysund,70.9963,24.6622,-4.87,62,76,7.78,NO,1678033355
122,manta,-0.95,-80.7333,24.69,95,100,4.32,EC,1678033355
123,youghal,51.95,-7.8506,6.56,65,95,1.75,IE,1678033355
124,east london,-33.0153,27.9116,21.52,94,75,2.57,ZA,1678033288
125,ponta delgada,37.7333,-25.6667,16.4,63,20,8.75,PT,1678033306
126,raduzhnyy,62.0961,77.475,-12.91,98,95,2.39,RU,1678033355
127,cartagena,10.3997,-75.5144,29.79,74,40,8.23,CO,1678033244
128,phan thiet,10.9333,108.1,21.68,71,100,4.58,VN,1678033356
129,paris,48.8534,2.3488,7.82,68,100,1.03,FR,1678032904
130,adzope,6.1069,-3.8619,36.37,36,42,1.09,CI,1678033356
131,itoman,26.1247,127.6694,16.01,59,2,2.57,JP,1678033356
132,cherskiy,68.75,161.3,-34.98,100,96,2.4,RU,1678033356
133,ahipara,-35.1667,173.1667,16.64,80,60,4.57,NZ,1678033356
134,yenagoa,4.9247,6.2642,28.55,75,98,4.26,NG,1678033356
135,lorengau,-2.0226,147.2712,27.34,77,100,3.1,PG,1678033356
136,yakeshi,49.2833,120.7333,-15.09,97,57,1.43,CN,1678033357
137,deputatskiy,69.3,139.9,-30.27,100,100,0.65,RU,1678033357
138,hobart,-42.8794,147.3294,17.25,89,100,2.57,AU,1678033357
139,namie,37.4833,141.0,1.51,78,98,1.83,JP,1678033357
140,dingle,10.9995,122.6711,23.62,87,94,4.29,PH,1678033357
141,kailua,21.4022,-157.7394,20.99,96,39,1.09,US,1678033357
142,kungurtug,50.5994,97.5228,-14.67,94,21,1.07,RU,1678033357
143,paamiut,61.994,-49.6678,2.2,76,93,2.35,GL,1678033357
144,sitka,57.0531,-135.33,-3.06,43,0,3.6,US,1678033357
145,iqaluit,63.7506,-68.5145,-5.15,85,75,12.07,CA,1678033358
146,kanigiri,15.4,79.5167,23.83,56,0,2.78,IN,1678033358
147,motupe,-6.1519,-79.7142,30.68,52,81,2.11,PE,1678033358
148,barbate,36.1924,-5.9219,15.44,73,100,4.16,ES,1678033358
149,garh maharaja,30.8339,71.9053,22.23,30,0,2.35,PK,1678033358
150,nikolskoye,59.7035,30.7861,-2.06,98,100,0.08,RU,1678033358
151,brae,60.3964,-1.353,2.57,72,100,4.88,GB,1678033359
152,macau,22.2006,113.5461,21.03,77,0,4.63,MO,1678033346
153,nanortalik,60.1432,-45.2371,2.65,92,76,1.47,GL,1678033359
154,kangaatsiaq,68.3065,-53.4641,-6.51,88,61,4.58,GL,1678033359
155,kapaa,22.0752,-159.319,20.18,94,100,2.57,US,1678033360
156,baoro,5.6667,15.9667,37.47,15,76,4.08,CF,1678033360
157,ranong,9.9658,98.6348,23.05,89,13,2.34,TH,1678033360
158,denpasar,-8.65,115.2167,26.81,94,75,7.2,ID,1678033331
159,bushenyi,-0.5853,30.2114,22.85,56,100,2.52,UG,1678033360
160,eureka,40.8021,-124.1637,4.66,93,100,0.45,US,1678033360
161,mahajanga,-15.7167,46.3167,28.01,83,40,5.14,MG,1678033360
162,nabire,-3.3667,135.4833,24.27,91,100,1.28,ID,1678033360
163,santa maria,-29.6842,-53.8069,26.61,65,75,1.54,BR,1678033361
164,qinhuangdao,39.9317,119.5883,5.99,63,41,1.81,CN,1678033361
165,thompson,55.7435,-97.8558,-16.91,78,75,2.57,CA,1678033361
166,matara,5.9485,80.5353,25.88,78,30,4.73,LK,1678033361
167,abong mbang,3.9833,13.1833,31.27,32,100,0.66,CM,1678033361
168,vanimo,-2.6741,141.3028,24.64,92,100,3.05,PG,1678033361
169,arraial do cabo,-22.9661,-42.0278,34.98,70,0,3.6,BR,1678033361
170,lazaro cardenas,17.9583,-102.2,25.7,66,94,0.69,MX,1678033361
171,bambous virieux,-20.3428,57.7575,26.23,94,75,0.0,MU,1678033362
172,aplahoue,6.9333,1.6833,31.82,51,100,1.76,BJ,1678033362
173,bengkulu,-3.8004,102.2655,24.31,89,62,1.38,ID,1678033362
174,andenes,69.3143,16.1194,-5.04,79,40,4.63,NO,1678033362
175,luderitz,-26.6481,15.1594,19.73,66,0,6.29,NA,1678033362
176,clarksburg,39.2807,-80.3445,12.25,46,0,3.09,US,1678033362
177,vredendal,-31.6683,18.5012,20.57,63,0,6.81,ZA,1678033167
178,san salvo,42.0433,14.7272,12.28,66,5,0.96,IT,1678033362
179,ketchikan,55.3422,-131.6461,1.99,64,0,3.6,US,1678033362
180,nanjing,32.0617,118.7778,7.95,53,0,2.0,CN,1678033363
181,menongue,-14.6585,17.691,25.92,57,87,1.53,AO,1678033363
182,bonthe,7.5264,-12.505,28.47,70,97,3.94,SL,1678033363
183,port elizabeth,-33.918,25.5701,22.28,99,100,5.14,ZA,1678033363
184,ixtapa,20.7,-105.2,20.57,73,75,0.0,MX,1678033363
185,fortuna,40.5982,-124.1573,4.51,93,75,0.0,US,1678033363
186,yulara,-25.2406,130.9889,26.32,33,6,8.14,AU,1678033363
187,teguldet,57.3064,88.1667,-7.97,98,100,1.65,RU,1678033363
188,cururupu,-1.8283,-44.8683,31.16,57,77,3.43,BR,1678033364
189,matagami,49.7502,-77.6328,-2.94,68,100,4.63,CA,1678033364
190,atuona,-9.8,-139.0333,26.53,82,15,6.78,PF,1678033364
191,poya,-21.35,165.15,24.36,87,86,3.1,NC,1678033364
192,abu zabad,12.35,29.25,33.68,12,20,1.34,SD,1678033364
193,pichayevo,53.2363,42.2032,-1.66,87,100,7.7,RU,1678033364
194,solnechnyy,50.7214,136.6319,-4.89,92,77,2.61,RU,1678033364
195,petropavlovsk-kamchatskiy,53.0452,158.6483,-13.67,56,75,4.0,RU,1678033364
196,geraldton,-28.7667,114.6,20.23,73,0,6.69,AU,1678033365
197,dhidhdhoo,6.8833,73.1,27.43,75,35,3.61,MV,1678033365
198,severo-kurilsk,50.6789,156.125,-3.55,75,100,3.37,RU,1678033365
199,portland,45.5234,-122.6762,2.83,94,100,1.54,US,1678033332
200,seoul,37.5683,126.9778,0.69,36,0,0.89,KR,1678032662
201,mount gambier,-37.8333,140.7667,14.03,81,5,4.67,AU,1678033365
202,naze,28.3667,129.4833,14.51,64,60,3.21,JP,1678033365
203,haines junction,60.7522,-137.5108,-34.03,75,37,0.51,CA,1678033365
204,kamaishi,39.2667,141.8833,3.07,67,35,2.97,JP,1678033365
205,vardo,70.3705,31.1107,-10.01,85,100,4.63,NO,1678033366
206,sabha,27.0377,14.4283,22.52,11,3,3.76,LY,1678033366
207,coihaique,-45.5752,-72.0662,23.34,60,75,3.09,CL,1678033366
208,tanout,14.9709,8.8879,38.48,7,16,4.18,NE,1678033366
209,valavanur,11.9209,79.5824,23.11,79,73,3.46,IN,1678033366
210,cozumel,20.5083,-86.9458,29.04,61,40,3.58,MX,1678033366
211,davila,18.4726,120.5763,22.04,72,12,10.77,PH,1678033366
212,kholodnyy,62.7167,147.95,-37.78,100,81,0.99,RU,1678033367
213,lashio,22.9333,97.75,16.9,33,0,0.71,MM,1678033367
214,capreol,46.706,-80.9225,2.26,60,20,2.06,CA,1678033367
215,anadyr,64.75,177.4833,-25.56,75,100,13.0,RU,1678033367
216,cabedelo,-6.9811,-34.8339,31.37,66,84,5.73,BR,1678033367
217,biak,-0.9131,122.8766,24.83,76,98,2.17,ID,1678033367
218,hobbs,32.7026,-103.136,19.48,16,0,5.14,US,1678033368
219,hay river,60.8156,-115.7999,-25.01,70,75,4.12,CA,1678033368
220,sao filipe,14.8961,-24.4956,23.83,65,98,4.56,CV,1678033368
221,longyearbyen,78.2186,15.6401,-15.09,72,100,5.66,SJ,1678033368
222,villa rica,33.7321,-84.9191,18.66,39,0,3.27,US,1678033235
223,marang,5.2056,103.2059,25.95,81,99,3.34,MY,1678033368
224,hithadhoo,-0.6,73.0833,28.19,69,5,1.22,MV,1678033368
225,thessalon,46.2501,-83.5666,4.16,84,33,3.25,CA,1678033368
226,tiassale,5.8983,-4.8283,34.41,45,67,1.92,CI,1678033368
227,thinadhoo,0.5333,72.9333,28.02,69,15,1.08,MV,1678033369
228,touros,-5.1989,-35.4608,29.49,64,100,6.42,BR,1678033369
229,shenjiamen,29.9576,122.298,10.24,82,1,4.8,CN,1678033369
230,lagoa,39.05,-27.9833,13.77,67,25,11.81,PT,1678033369
231,shihezi,44.3,86.0333,-1.51,94,88,1.47,CN,1678033369
232,beringovskiy,63.05,179.3167,-19.31,88,98,3.37,RU,1678033369
233,torbay,47.6666,-52.7314,-1.73,60,20,4.63,CA,1678033369
234,banagher,53.1886,-7.9867,7.96,71,100,3.36,IE,1678033369
235,tessalit,20.1986,1.0114,32.3,6,100,5.3,ML,1678033369
236,grandview,38.8858,-94.533,14.77,65,0,6.17,US,1678033370
237,koshki,54.2091,50.4677,-2.4,88,97,10.25,RU,1678033370
238,payo,-3.7508,103.6372,22.49,97,49,1.14,ID,1678033370
239,buala,-8.145,159.5921,25.54,84,75,2.81,SB,1678033370
240,durban,-29.8579,31.0292,26.51,87,17,2.24,ZA,1678033160
241,oksfjord,70.2396,22.3479,-3.9,86,74,4.79,NO,1678033370
242,flinders,-34.5833,150.8552,21.77,86,42,0.89,AU,1678033370
